# PokéTrack TCG Collection Backup
# Source: https://pokemoncardcollection.onrender.com (Live Server)
# Total Cards: 136
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
me5-1 | me5 | 1 | 1 | 0 | 0.00 | 0.00 | Tropius | Common | https://images.scrydex.com/pokemon/me5-1/small | 
me5-57 | me5 | 57 | 1 | 0 | 0.00 | 0.00 | Maschiff | Common | https://images.scrydex.com/pokemon/me5-57/small | 
me5-56 | me5 | 56 | 1 | 0 | 0.00 | 0.00 | Zarude | Rare | https://images.scrydex.com/pokemon/me5-56/small | 
me5-61 | me5 | 61 | 1 | 0 | 0.00 | 0.00 | Shieldon | Common | https://images.scrydex.com/pokemon/me5-61/small | 
me5-62 | me5 | 62 | 1 | 0 | 0.00 | 0.00 | Bastiodon | Rare | https://images.scrydex.com/pokemon/me5-62/small | 
me5-63 | me5 | 63 | 1 | 0 | 0.00 | 0.00 | Bronzor | Common | https://images.scrydex.com/pokemon/me5-63/small | 
me5-64 | me5 | 64 | 1 | 0 | 0.00 | 0.00 | Bronzong | Uncommon | https://images.scrydex.com/pokemon/me5-64/small | 
me5-66 | me5 | 66 | 1 | 0 | 0.00 | 0.00 | Pikipek | Common | https://images.scrydex.com/pokemon/me5-66/small | 
me5-67 | me5 | 67 | 1 | 0 | 0.00 | 0.00 | Trumbeak | Common | https://images.scrydex.com/pokemon/me5-67/small | 
me5-68 | me5 | 68 | 1 | 0 | 0.00 | 0.00 | Toucannon | Uncommon | https://images.scrydex.com/pokemon/me5-68/small | 
me5-69 | me5 | 69 | 1 | 0 | 0.00 | 0.00 | Type: Null | Common | https://images.scrydex.com/pokemon/me5-69/small | 
me5-71 | me5 | 71 | 1 | 0 | 0.00 | 0.00 | Bombirdier | Common | https://images.scrydex.com/pokemon/me5-71/small | 
me5-72 | me5 | 72 | 1 | 0 | 0.00 | 0.00 | Antique Armor Fossil | Common | https://images.scrydex.com/pokemon/me5-72/small | 
me5-78 | me5 | 78 | 1 | 0 | 0.00 | 0.00 | Gwynn | Uncommon | https://images.scrydex.com/pokemon/me5-78/small | 
me5-77 | me5 | 77 | 1 | 0 | 0.00 | 0.00 | Gladion's Final Battle | Uncommon | https://images.scrydex.com/pokemon/me5-77/small | 
me5-76 | me5 | 76 | 1 | 0 | 0.00 | 0.00 | Fossil Quarry | Uncommon | https://images.scrydex.com/pokemon/me5-76/small | 
me5-75 | me5 | 75 | 1 | 0 | 0.00 | 0.00 | Dark Bell | Uncommon | https://images.scrydex.com/pokemon/me5-75/small | 
me5-74 | me5 | 74 | 1 | 0 | 0.00 | 0.00 | Backtrack Badge | Uncommon | https://images.scrydex.com/pokemon/me5-74/small | 
me5-73 | me5 | 73 | 1 | 0 | 0.00 | 0.00 | Antique Skull Fossil | Common | https://images.scrydex.com/pokemon/me5-73/small | 
me5-79 | me5 | 79 | 1 | 0 | 0.00 | 0.00 | Jett | Uncommon | https://images.scrydex.com/pokemon/me5-79/small | 
me5-80 | me5 | 80 | 1 | 0 | 0.00 | 0.00 | Misty's Vitality | Uncommon | https://images.scrydex.com/pokemon/me5-80/small | 
me5-81 | me5 | 81 | 1 | 0 | 0.00 | 0.00 | Rust Syndicate Grunt | Uncommon | https://images.scrydex.com/pokemon/me5-81/small | 
me5-82 | me5 | 82 | 1 | 0 | 0.00 | 0.00 | Tremendous Bomb | Uncommon | https://images.scrydex.com/pokemon/me5-82/small | 
me5-83 | me5 | 83 | 1 | 0 | 0.00 | 0.00 | Shadowy Darkness Energy | Rare | https://images.scrydex.com/pokemon/me5-83/small | 
me5-84 | me5 | 84 | 1 | 0 | 0.00 | 0.00 | Voltaic Lightning Energy | Rare | https://images.scrydex.com/pokemon/me5-84/small | 
me5-89 | me5 | 89 | 1 | 0 | 0.00 | 0.00 | Manectric | Illustration Rare | https://images.scrydex.com/pokemon/me5-89/small | 
me5-85 | me5 | 85 | 1 | 0 | 0.00 | 0.00 | Fomantis | Illustration Rare | https://images.scrydex.com/pokemon/me5-85/small | 
me5-105 | me5 | 105 | 1 | 0 | 0.00 | 0.00 | Crushing Hammer | Ultra Rare | https://images.scrydex.com/pokemon/me5-105/small | 
me5-114 | me5 | 114 | 1 | 0 | 0.00 | 0.00 | Mega Zeraora ex | Special Illustration Rare | https://images.scrydex.com/pokemon/me5-114/small | 
me4-5 | me4 | 5 | 1 | 0 | 0.00 | 0.00 | Chespin | Common | https://images.scrydex.com/pokemon/me4-5/small | 
me4-6 | me4 | 6 | 1 | 0 | 0.00 | 0.00 | Quilladin | Common | https://images.scrydex.com/pokemon/me4-6/small | 
me4-7 | me4 | 7 | 1 | 0 | 0.00 | 0.00 | Chesnaught | Rare | https://images.scrydex.com/pokemon/me4-7/small | 
me4-8 | me4 | 8 | 1 | 0 | 0.00 | 0.00 | Vulpix | Common | https://images.scrydex.com/pokemon/me4-8/small | 
me4-9 | me4 | 9 | 1 | 0 | 0.00 | 0.00 | Ninetales | Uncommon | https://images.scrydex.com/pokemon/me4-9/small | 
me4-11 | me4 | 11 | 1 | 0 | 0.00 | 0.00 | Fennekin | Common | https://images.scrydex.com/pokemon/me4-11/small | 
me4-12 | me4 | 12 | 1 | 0 | 0.00 | 0.00 | Braixen | Common | https://images.scrydex.com/pokemon/me4-12/small | 
me4-24 | me4 | 24 | 1 | 0 | 0.00 | 0.00 | Avalugg | Uncommon | https://images.scrydex.com/pokemon/me4-24/small | 
me4-20 | me4 | 20 | 1 | 0 | 0.00 | 0.00 | Froakie | Common | https://images.scrydex.com/pokemon/me4-20/small | 
me4-29 | me4 | 29 | 1 | 0 | 0.00 | 0.00 | Ampharos | Rare | https://images.scrydex.com/pokemon/me4-29/small | 
sv9-7 | sv9 | 7 | 1 | 0 | 0.05 | 0.00 | Lilligant | Common | https://images.pokemontcg.io/sv9/7.png | 
sv9-119 | sv9 | 119 | 1 | 0 | 0.04 | 0.00 | Furret | Common | https://images.pokemontcg.io/sv9/119.png | 
sv9-71 | sv9 | 71 | 1 | 0 | 0.03 | 0.00 | Impidimp | Common | https://images.pokemontcg.io/sv9/71.png | 
sv9-74 | sv9 | 74 | 1 | 0 | 0.03 | 0.00 | Milcery | Common | https://images.pokemontcg.io/sv9/74.png | 
sv9-153 | sv9 | 153 | 1 | 0 | 0.06 | 0.00 | N's PP Up | Uncommon | https://images.pokemontcg.io/sv9/153.png | 
sv9-157 | sv9 | 157 | 1 | 0 | 0.04 | 0.00 | Ruffian | Uncommon | https://images.pokemontcg.io/sv9/157.png | 
sv9-145 | sv9 | 145 | 1 | 0 | 0.04 | 0.00 | Black Belt's Training | Common | https://images.pokemontcg.io/sv9/145.png | 
sv9-149 | sv9 | 149 | 1 | 0 | 0.03 | 0.00 | Iris's Fighting Spirit | Uncommon | https://images.pokemontcg.io/sv9/149.png | 
sv9-47 | sv9 | 47 | 1 | 0 | 0.06 | 0.00 | Iono's Voltorb | Common | https://images.pokemontcg.io/sv9/47.png | 
sv9-127 | sv9 | 127 | 1 | 0 | 0.03 | 0.00 | Noibat | Common | https://images.pokemontcg.io/sv9/127.png | 
sv9-128 | sv9 | 128 | 1 | 0 | 0.07 | 0.00 | Noivern | Rare | https://images.pokemontcg.io/sv9/128.png | 
sv9-105 | sv9 | 105 | 1 | 0 | 0.03 | 0.00 | N's Klinklang | Uncommon | https://images.pokemontcg.io/sv9/105.png | 
sv9-102 | sv9 | 102 | 1 | 0 | 0.02 | 0.00 | Escavalier | Uncommon | https://images.pokemontcg.io/sv9/102.png | 
sv9-28 | sv9 | 28 | 1 | 0 | 0.03 | 0.00 | Larvesta | Common | https://images.pokemontcg.io/sv9/28.png | 
sv9-76 | sv9 | 76 | 1 | 0 | 0.04 | 0.00 | Cubone | Common | https://images.pokemontcg.io/sv9/76.png | 
sv9-100 | sv9 | 100 | 1 | 0 | 0.03 | 0.00 | Lokix | Uncommon | https://images.pokemontcg.io/sv9/100.png | 
sv9-39 | sv9 | 39 | 1 | 0 | 0.03 | 0.00 | Pelipper | Uncommon | https://images.pokemontcg.io/sv9/39.png | 
sv9-33 | sv9 | 33 | 1 | 0 | 0.03 | 0.00 | Remoraid | Common | https://images.pokemontcg.io/sv9/33.png | 
sv9-15 | sv9 | 15 | 1 | 0 | 0.03 | 0.00 | Virizion | Uncommon | https://images.pokemontcg.io/sv9/15.png | 
sv9-113 | sv9 | 113 | 1 | 0 | 0.04 | 0.00 | Shelgon | Common | https://images.pokemontcg.io/sv9/113.png | 
sv9-115 | sv9 | 115 | 1 | 0 | 0.04 | 0.00 | Druddigon | Common | https://images.pokemontcg.io/sv9/115.png | 
sv9-23 | sv9 | 23 | 1 | 0 | 0.03 | 0.00 | Combusken | Uncommon | https://images.pokemontcg.io/sv9/23.png | 
sv9-1 | sv9 | 1 | 1 | 0 | 0.03 | 0.00 | Caterpie | Common | https://images.pokemontcg.io/sv9/1.png | 
sv9-2 | sv9 | 2 | 1 | 0 | 0.05 | 0.00 | Metapod | Common | https://images.pokemontcg.io/sv9/2.png | 
sv9-3 | sv9 | 3 | 1 | 0 | 0.07 | 0.00 | Butterfree | Rare | https://images.pokemontcg.io/sv9/3.png | 
sv9-45 | sv9 | 45 | 1 | 0 | 0.04 | 0.00 | Alolan Graveler | Common | https://images.pokemontcg.io/sv9/45.png | 
sv9-46 | sv9 | 46 | 1 | 0 | 0.04 | 0.00 | Alolan Golem | Uncommon | https://images.pokemontcg.io/sv9/46.png | 
sv9-62 | sv9 | 62 | 1 | 0 | 0.04 | 0.00 | Metang | Common | https://images.pokemontcg.io/sv9/62.png | 
sv9-139 | sv9 | 139 | 1 | 0 | 0.03 | 0.00 | Lechonk | Common | https://images.pokemontcg.io/sv9/139.png | 
sv9-26 | sv9 | 26 | 1 | 0 | 0.05 | 0.00 | N's Darumaka | Common | https://images.pokemontcg.io/sv9/26.png | 
sv9-84 | sv9 | 84 | 1 | 0 | 0.03 | 0.00 | Rockruff | Common | https://images.pokemontcg.io/sv9/84.png | 
svp-164 | svp | 164 | 1 | 0 | 4.50 | 0.00 | Lapras ex | Promo | https://images.pokemontcg.io/svp/164.png | 
svp-165 | svp | 165 | 1 | 0 | 3.32 | 0.00 | Terapagos ex | Promo | https://images.pokemontcg.io/svp/165.png | 
svp-163 | svp | 163 | 1 | 0 | 3.11 | 0.00 | Cinderace ex | Promo | https://images.pokemontcg.io/svp/163.png | 
svp-129 | svp | 129 | 1 | 0 | 44.50 | 0.00 | Pecharunt | Promo | https://images.pokemontcg.io/svp/129.png | 
sv6-157 | sv6 | 157 | 1 | 0 | 0.03 | 0.00 | Lucian | Uncommon | https://images.pokemontcg.io/sv6/157.png | 
sv6-44 | sv6 | 44 | 1 | 0 | 0.05 | 0.00 | Goldeen | Common | https://images.pokemontcg.io/sv6/44.png | 
sv6-17 | sv6 | 17 | 1 | 0 | 0.06 | 0.00 | Applin | Common | https://images.pokemontcg.io/sv6/17.png | 
sv6-113 | sv6 | 113 | 1 | 0 | 0.03 | 0.00 | Poochyena | Common | https://images.pokemontcg.io/sv6/113.png | 
sv6-76 | sv6 | 76 | 1 | 0 | 0.03 | 0.00 | Kilowattrel | Uncommon | https://images.pokemontcg.io/sv6/76.png | 
sv6-142 | sv6 | 142 | 1 | 0 | 0.08 | 0.00 | Accompanying Flute | Uncommon | https://images.pokemontcg.io/sv6/142.png | 
sv6-148 | sv6 | 148 | 1 | 0 | 0.08 | 0.00 | Enhanced Hammer | Uncommon | https://images.pokemontcg.io/sv6/148.png | 
sv6-145 | sv6 | 145 | 1 | 0 | 0.11 | 0.00 | Carmine | Uncommon | https://images.pokemontcg.io/sv6/145.png | 
sv6-147 | sv6 | 147 | 1 | 0 | 0.04 | 0.00 | Cook | Uncommon | https://images.pokemontcg.io/sv6/147.png | 
sv6-166 | sv6 | 166 | 1 | 0 | 0.06 | 0.00 | Boomerang Energy | Uncommon | https://images.pokemontcg.io/sv6/166.png | 
sv6-70 | sv6 | 70 | 1 | 0 | 0.02 | 0.00 | Helioptile | Common | https://images.pokemontcg.io/sv6/70.png | 
