# PokéTrack TCG Collection Backup
# Source: https://pokemoncardcollection.onrender.com (Set: me5)
# Total Cards: 80
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
me5-1 | me5 | 1 | 1 | 0 | 0.00 | 0.00 | Tropius | Common | https://images.scrydex.com/pokemon/me5-1/small | 
me5-57 | me5 | 57 | 1 | 0 | 0.00 | 0.00 | Maschiff | Common | https://images.scrydex.com/pokemon/me5-57/small | 
me5-56 | me5 | 56 | 1 | 0 | 0.00 | 0.00 | Zarude | Rare | https://images.scrydex.com/pokemon/me5-56/small | 
me5-61 | me5 | 61 | 1 | 0 | 0.00 | 0.00 | Shieldon | Common | https://images.scrydex.com/pokemon/me5-61/small | 
me5-62 | me5 | 62 | 1 | 0 | 0.00 | 0.00 | Bastiodon | Rare | https://images.scrydex.com/pokemon/me5-62/small | 
me5-63 | me5 | 63 | 1 | 0 | 0.00 | 0.00 | Bronzor | Common | https://images.scrydex.com/pokemon/me5-63/small | 
me5-64 | me5 | 64 | 1 | 0 | 0.00 | 0.00 | Bronzong | Uncommon | https://images.scrydex.com/pokemon/me5-64/small | 
me5-66 | me5 | 66 | 1 | 0 | 0.00 | 0.00 | Pikipek | Common | https://images.scrydex.com/pokemon/me5-66/small | 
me5-67 | me5 | 67 | 1 | 0 | 0.00 | 0.00 | Trumbeak | Common | https://images.scrydex.com/pokemon/me5-67/small | 
me5-68 | me5 | 68 | 1 | 0 | 0.00 | 0.00 | Toucannon | Uncommon | https://images.scrydex.com/pokemon/me5-68/small | 
me5-69 | me5 | 69 | 1 | 0 | 0.00 | 0.00 | Type: Null | Common | https://images.scrydex.com/pokemon/me5-69/small | 
me5-71 | me5 | 71 | 1 | 0 | 0.00 | 0.00 | Bombirdier | Common | https://images.scrydex.com/pokemon/me5-71/small | 
me5-72 | me5 | 72 | 1 | 0 | 0.00 | 0.00 | Antique Armor Fossil | Common | https://images.scrydex.com/pokemon/me5-72/small | 
me5-78 | me5 | 78 | 1 | 0 | 0.00 | 0.00 | Gwynn | Uncommon | https://images.scrydex.com/pokemon/me5-78/small | 
me5-77 | me5 | 77 | 1 | 0 | 0.00 | 0.00 | Gladion's Final Battle | Uncommon | https://images.scrydex.com/pokemon/me5-77/small | 
me5-76 | me5 | 76 | 1 | 0 | 0.00 | 0.00 | Fossil Quarry | Uncommon | https://images.scrydex.com/pokemon/me5-76/small | 
me5-75 | me5 | 75 | 1 | 0 | 0.00 | 0.00 | Dark Bell | Uncommon | https://images.scrydex.com/pokemon/me5-75/small | 
me5-74 | me5 | 74 | 1 | 0 | 0.00 | 0.00 | Backtrack Badge | Uncommon | https://images.scrydex.com/pokemon/me5-74/small | 
me5-73 | me5 | 73 | 1 | 0 | 0.00 | 0.00 | Antique Skull Fossil | Common | https://images.scrydex.com/pokemon/me5-73/small | 
me5-79 | me5 | 79 | 1 | 0 | 0.00 | 0.00 | Jett | Uncommon | https://images.scrydex.com/pokemon/me5-79/small | 
me5-80 | me5 | 80 | 1 | 0 | 0.00 | 0.00 | Misty's Vitality | Uncommon | https://images.scrydex.com/pokemon/me5-80/small | 
me5-81 | me5 | 81 | 1 | 0 | 0.00 | 0.00 | Rust Syndicate Grunt | Uncommon | https://images.scrydex.com/pokemon/me5-81/small | 
me5-82 | me5 | 82 | 1 | 0 | 0.00 | 0.00 | Tremendous Bomb | Uncommon | https://images.scrydex.com/pokemon/me5-82/small | 
me5-83 | me5 | 83 | 1 | 0 | 0.00 | 0.00 | Shadowy Darkness Energy | Rare | https://images.scrydex.com/pokemon/me5-83/small | 
me5-84 | me5 | 84 | 1 | 0 | 0.00 | 0.00 | Voltaic Lightning Energy | Rare | https://images.scrydex.com/pokemon/me5-84/small | 
me5-89 | me5 | 89 | 1 | 0 | 0.00 | 0.00 | Manectric | Illustration Rare | https://images.scrydex.com/pokemon/me5-89/small | 
me5-85 | me5 | 85 | 1 | 0 | 0.00 | 0.00 | Fomantis | Illustration Rare | https://images.scrydex.com/pokemon/me5-85/small | 
me5-105 | me5 | 105 | 1 | 0 | 0.00 | 0.00 | Crushing Hammer | Ultra Rare | https://images.scrydex.com/pokemon/me5-105/small | 
me5-114 | me5 | 114 | 1 | 0 | 0.00 | 0.00 | Mega Zeraora ex | Special Illustration Rare | https://images.scrydex.com/pokemon/me5-114/small | 
