# PokéTrack TCG Collection Backup
# Scope: all_sets
# Total Cards: 386
# Format: card_id | set_id | number | quantity | is_wanted | market_price | custom_price | name | rarity | image_url | notes
me1-133 | me1 | 133 | 0 | 1 | 20.69 | 0.00 | Bulbasaur | Illustration Rare | https://images.pokemontcg.io/me1/133.png | 
me5-1 | me5 | 1 | 1 | 0 | 0.00 | 0.00 | Tropius | Common | https://images.scrydex.com/pokemon/me5-1/small | 
me5-2 | me5 | 2 | 1 | 0 | 0.00 | 0.00 | Grubbin | Common | https://images.scrydex.com/pokemon/me5-2/small | 
me5-3 | me5 | 3 | 1 | 0 | 0.00 | 0.00 | Fomantis | Common | https://images.scrydex.com/pokemon/me5-3/small | 
me5-4 | me5 | 4 | 1 | 0 | 0.00 | 0.00 | Lurantis ex | Double Rare | https://images.scrydex.com/pokemon/me5-4/small | 
me5-5 | me5 | 5 | 1 | 0 | 0.00 | 0.00 | Poltchageist | Common | https://images.scrydex.com/pokemon/me5-5/small | 
me5-6 | me5 | 6 | 1 | 0 | 0.00 | 0.00 | Sinistcha | Uncommon | https://images.scrydex.com/pokemon/me5-6/small | 
me5-7 | me5 | 7 | 1 | 0 | 0.00 | 0.00 | Heatran | Uncommon | https://images.scrydex.com/pokemon/me5-7/small | 
me5-8 | me5 | 8 | 1 | 0 | 0.00 | 0.00 | Mega Delphox ex | Double Rare | https://images.scrydex.com/pokemon/me5-8/small | 
me5-9 | me5 | 9 | 1 | 0 | 0.00 | 0.00 | Sizzlipede | Common | https://images.scrydex.com/pokemon/me5-9/small | 
me5-10 | me5 | 10 | 1 | 0 | 0.00 | 0.00 | Centiskorch | Common | https://images.scrydex.com/pokemon/me5-10/small | 
me5-11 | me5 | 11 | 1 | 0 | 0.00 | 0.00 | Charcadet | Common | https://images.scrydex.com/pokemon/me5-11/small | 
me5-12 | me5 | 12 | 1 | 0 | 0.00 | 0.00 | Armarouge | Rare | https://images.scrydex.com/pokemon/me5-12/small | 
me5-13 | me5 | 13 | 1 | 0 | 0.00 | 0.00 | Goldeen | Common | https://images.scrydex.com/pokemon/me5-13/small | 
me5-14 | me5 | 14 | 1 | 0 | 0.00 | 0.00 | Seaking | Uncommon | https://images.scrydex.com/pokemon/me5-14/small | 
me5-15 | me5 | 15 | 1 | 0 | 0.00 | 0.00 | Wailmer | Common | https://images.scrydex.com/pokemon/me5-15/small | 
me5-17 | me5 | 17 | 1 | 0 | 0.00 | 0.00 | Relicanth | Uncommon | https://images.scrydex.com/pokemon/me5-17/small | 
me5-18 | me5 | 18 | 1 | 0 | 0.00 | 0.00 | Popplio | Common | https://images.scrydex.com/pokemon/me5-18/small | 
me5-19 | me5 | 19 | 1 | 0 | 0.00 | 0.00 | Brionne | Common | https://images.scrydex.com/pokemon/me5-19/small | 
me5-20 | me5 | 20 | 1 | 0 | 0.00 | 0.00 | Primarina | Rare | https://images.scrydex.com/pokemon/me5-20/small | 
me5-21 | me5 | 21 | 1 | 0 | 0.00 | 0.00 | Finizen | Common | https://images.scrydex.com/pokemon/me5-21/small | 
me5-22 | me5 | 22 | 1 | 0 | 0.00 | 0.00 | Palafin | Uncommon | https://images.scrydex.com/pokemon/me5-22/small | 
me5-23 | me5 | 23 | 1 | 0 | 0.00 | 0.00 | Electrike | Common | https://images.scrydex.com/pokemon/me5-23/small | 
me5-24 | me5 | 24 | 1 | 0 | 0.00 | 0.00 | Manectric | Uncommon | https://images.scrydex.com/pokemon/me5-24/small | 
me5-25 | me5 | 25 | 1 | 0 | 0.00 | 0.00 | Charjabug | Common | https://images.scrydex.com/pokemon/me5-25/small | 
me5-26 | me5 | 26 | 1 | 0 | 0.00 | 0.00 | Vikavolt | Uncommon | https://images.scrydex.com/pokemon/me5-26/small | 
me5-28 | me5 | 28 | 1 | 0 | 0.00 | 0.00 | Miraidon | Rare | https://images.scrydex.com/pokemon/me5-28/small | 
me5-29 | me5 | 29 | 1 | 0 | 0.00 | 0.00 | Slowpoke | Common | https://images.scrydex.com/pokemon/me5-29/small | 
me5-30 | me5 | 30 | 1 | 0 | 0.00 | 0.00 | Slowbro | Uncommon | https://images.scrydex.com/pokemon/me5-30/small | 
me5-32 | me5 | 32 | 1 | 0 | 0.00 | 0.00 | Jynx | Common | https://images.scrydex.com/pokemon/me5-32/small | 
me5-33 | me5 | 33 | 1 | 0 | 0.00 | 0.00 | Shuppet | Common | https://images.scrydex.com/pokemon/me5-33/small | 
me5-34 | me5 | 34 | 1 | 0 | 0.00 | 0.00 | Banette | Uncommon | https://images.scrydex.com/pokemon/me5-34/small | 
me5-35 | me5 | 35 | 1 | 0 | 0.00 | 0.00 | Spiritomb | Rare | https://images.scrydex.com/pokemon/me5-35/small | 
me5-36 | me5 | 36 | 1 | 0 | 0.00 | 0.00 | Litwick | Common | https://images.scrydex.com/pokemon/me5-36/small | 
me5-37 | me5 | 37 | 1 | 0 | 0.00 | 0.00 | Lampent | Uncommon | https://images.scrydex.com/pokemon/me5-37/small | 
me5-38 | me5 | 38 | 1 | 0 | 0.00 | 0.00 | Mega Chandelure ex | Double Rare | https://images.scrydex.com/pokemon/me5-38/small | 
me5-39 | me5 | 39 | 1 | 0 | 0.00 | 0.00 | Dhelmise | Uncommon | https://images.scrydex.com/pokemon/me5-39/small | 
me5-40 | me5 | 40 | 1 | 0 | 0.00 | 0.00 | Marshadow | Uncommon | https://images.scrydex.com/pokemon/me5-40/small | 
me5-41 | me5 | 41 | 1 | 0 | 0.00 | 0.00 | Annihilape | Uncommon | https://images.scrydex.com/pokemon/me5-41/small | 
me5-42 | me5 | 42 | 1 | 0 | 0.00 | 0.00 | Mankey | Common | https://images.scrydex.com/pokemon/me5-42/small | 
me5-43 | me5 | 43 | 1 | 0 | 0.00 | 0.00 | Primeape | Common | https://images.scrydex.com/pokemon/me5-43/small | 
me5-44 | me5 | 44 | 1 | 0 | 0.00 | 0.00 | Cranidos | Common | https://images.scrydex.com/pokemon/me5-44/small | 
me5-45 | me5 | 45 | 1 | 0 | 0.00 | 0.00 | Rampardos ex | Double Rare | https://images.scrydex.com/pokemon/me5-45/small | 
me5-46 | me5 | 46 | 1 | 0 | 0.00 | 0.00 | Drilbur | Common | https://images.scrydex.com/pokemon/me5-46/small | 
me5-47 | me5 | 47 | 1 | 0 | 0.00 | 0.00 | Koraidon | Rare | https://images.scrydex.com/pokemon/me5-47/small | 
me5-49 | me5 | 49 | 1 | 0 | 0.00 | 0.00 | Vullaby | Common | https://images.scrydex.com/pokemon/me5-49/small | 
me5-50 | me5 | 50 | 1 | 0 | 0.00 | 0.00 | Mandibuzz | Common | https://images.scrydex.com/pokemon/me5-50/small | 
me5-51 | me5 | 51 | 1 | 0 | 0.00 | 0.00 | Inkay | Common | https://images.scrydex.com/pokemon/me5-51/small | 
me5-52 | me5 | 52 | 1 | 0 | 0.00 | 0.00 | Malamar | Uncommon | https://images.scrydex.com/pokemon/me5-52/small | 
me5-53 | me5 | 53 | 1 | 0 | 0.00 | 0.00 | Nickit | Common | https://images.scrydex.com/pokemon/me5-53/small | 
me5-54 | me5 | 54 | 1 | 0 | 0.00 | 0.00 | Thievul | Uncommon | https://images.scrydex.com/pokemon/me5-54/small | 
me5-56 | me5 | 56 | 1 | 0 | 0.00 | 0.00 | Zarude | Rare | https://images.scrydex.com/pokemon/me5-56/small | 
me5-57 | me5 | 57 | 1 | 0 | 0.00 | 0.00 | Maschiff | Common | https://images.scrydex.com/pokemon/me5-57/small | 
me5-58 | me5 | 58 | 1 | 0 | 0.00 | 0.00 | Mabosstiff | Common | https://images.scrydex.com/pokemon/me5-58/small | 
me5-59 | me5 | 59 | 1 | 0 | 0.00 | 0.00 | Chi-Yu | Rare | https://images.scrydex.com/pokemon/me5-59/small | 
me5-60 | me5 | 60 | 1 | 0 | 0.00 | 0.00 | Skarmory | Common | https://images.scrydex.com/pokemon/me5-60/small | 
me5-61 | me5 | 61 | 1 | 0 | 0.00 | 0.00 | Shieldon | Common | https://images.scrydex.com/pokemon/me5-61/small | 
me5-62 | me5 | 62 | 1 | 0 | 0.00 | 0.00 | Bastiodon | Rare | https://images.scrydex.com/pokemon/me5-62/small | 
me5-63 | me5 | 63 | 1 | 0 | 0.00 | 0.00 | Bronzor | Common | https://images.scrydex.com/pokemon/me5-63/small | 
me5-64 | me5 | 64 | 1 | 0 | 0.00 | 0.00 | Bronzong | Uncommon | https://images.scrydex.com/pokemon/me5-64/small | 
me5-66 | me5 | 66 | 1 | 0 | 0.00 | 0.00 | Pikipek | Common | https://images.scrydex.com/pokemon/me5-66/small | 
me5-67 | me5 | 67 | 1 | 0 | 0.00 | 0.00 | Trumbeak | Common | https://images.scrydex.com/pokemon/me5-67/small | 
me5-68 | me5 | 68 | 1 | 0 | 0.00 | 0.00 | Toucannon | Uncommon | https://images.scrydex.com/pokemon/me5-68/small | 
me5-69 | me5 | 69 | 1 | 0 | 0.00 | 0.00 | Type: Null | Common | https://images.scrydex.com/pokemon/me5-69/small | 
me5-70 | me5 | 70 | 1 | 0 | 0.00 | 0.00 | Silvally | Rare | https://images.scrydex.com/pokemon/me5-70/small | 
me5-71 | me5 | 71 | 1 | 0 | 0.00 | 0.00 | Bombirdier | Common | https://images.scrydex.com/pokemon/me5-71/small | 
me5-72 | me5 | 72 | 1 | 0 | 0.00 | 0.00 | Antique Armor Fossil | Common | https://images.scrydex.com/pokemon/me5-72/small | 
me5-73 | me5 | 73 | 1 | 0 | 0.00 | 0.00 | Antique Skull Fossil | Common | https://images.scrydex.com/pokemon/me5-73/small | 
me5-74 | me5 | 74 | 1 | 0 | 0.00 | 0.00 | Backtrack Badge | Uncommon | https://images.scrydex.com/pokemon/me5-74/small | 
me5-75 | me5 | 75 | 1 | 0 | 0.00 | 0.00 | Dark Bell | Uncommon | https://images.scrydex.com/pokemon/me5-75/small | 
me5-76 | me5 | 76 | 1 | 0 | 0.00 | 0.00 | Fossil Quarry | Uncommon | https://images.scrydex.com/pokemon/me5-76/small | 
me5-77 | me5 | 77 | 1 | 0 | 0.00 | 0.00 | Gladion's Final Battle | Uncommon | https://images.scrydex.com/pokemon/me5-77/small | 
me5-78 | me5 | 78 | 1 | 0 | 0.00 | 0.00 | Gwynn | Uncommon | https://images.scrydex.com/pokemon/me5-78/small | 
me5-79 | me5 | 79 | 1 | 0 | 0.00 | 0.00 | Jett | Uncommon | https://images.scrydex.com/pokemon/me5-79/small | 
me5-80 | me5 | 80 | 1 | 0 | 0.00 | 0.00 | Misty's Vitality | Uncommon | https://images.scrydex.com/pokemon/me5-80/small | 
me5-81 | me5 | 81 | 1 | 0 | 0.00 | 0.00 | Rust Syndicate Grunt | Uncommon | https://images.scrydex.com/pokemon/me5-81/small | 
me5-82 | me5 | 82 | 1 | 0 | 0.00 | 0.00 | Tremendous Bomb | Uncommon | https://images.scrydex.com/pokemon/me5-82/small | 
me5-83 | me5 | 83 | 1 | 0 | 0.00 | 0.00 | Shadowy Darkness Energy | Rare | https://images.scrydex.com/pokemon/me5-83/small | 
me5-84 | me5 | 84 | 1 | 0 | 0.00 | 0.00 | Voltaic Lightning Energy | Rare | https://images.scrydex.com/pokemon/me5-84/small | 
me5-85 | me5 | 85 | 1 | 0 | 0.00 | 0.00 | Fomantis | Illustration Rare | https://images.scrydex.com/pokemon/me5-85/small | 
me5-89 | me5 | 89 | 1 | 0 | 0.00 | 0.00 | Manectric | Illustration Rare | https://images.scrydex.com/pokemon/me5-89/small | 
me5-105 | me5 | 105 | 1 | 0 | 0.00 | 0.00 | Crushing Hammer | Ultra Rare | https://images.scrydex.com/pokemon/me5-105/small | 
me5-114 | me5 | 114 | 1 | 0 | 0.00 | 0.00 | Mega Zeraora ex | Special Illustration Rare | https://images.scrydex.com/pokemon/me5-114/small | 
sm115-16 | sm115 | 16 | 0 | 1 | 3.15 | 0.00 | Gyarados-GX | Rare Holo GX | https://images.pokemontcg.io/sm115/16.png | 
sv10-11 | sv10 | 11 | 1 | 0 | 0.10 | 0.00 | Dwebble | Common | https://images.pokemontcg.io/sv10/11.png | 
sv10-12 | sv10 | 12 | 1 | 0 | 0.14 | 0.00 | Crustle | Rare | https://images.pokemontcg.io/sv10/12.png | 
sv10-16 | sv10 | 16 | 1 | 0 | 0.04 | 0.00 | Applin | Common | https://images.pokemontcg.io/sv10/16.png | 
sv10-26 | sv10 | 26 | 1 | 0 | 0.05 | 0.00 | Teal Mask Ogerpon | Uncommon | https://images.pokemontcg.io/sv10/26.png | 
sv10-30 | sv10 | 30 | 1 | 0 | 0.04 | 0.00 | Rapidash | Uncommon | https://images.pokemontcg.io/sv10/30.png | 
sv10-32 | sv10 | 32 | 1 | 0 | 0.06 | 0.00 | Ethan's Cyndaquil | Common | https://images.pokemontcg.io/sv10/32.png | 
sv10-37 | sv10 | 37 | 1 | 0 | 0.03 | 0.00 | Team Rocket's Houndour | Common | https://images.pokemontcg.io/sv10/37.png | 
sv10-42 | sv10 | 42 | 1 | 0 | 0.09 | 0.00 | Blaziken | Rare | https://images.pokemontcg.io/sv10/42.png | 
sv10-53 | sv10 | 53 | 1 | 0 | 0.06 | 0.00 | Cynthia's Milotic | Uncommon | https://images.pokemontcg.io/sv10/53.png | 
sv10-56 | sv10 | 56 | 1 | 0 | 0.07 | 0.00 | Gorebyss | Rare | https://images.pokemontcg.io/sv10/56.png | 
sv10-112 | sv10 | 112 | 1 | 0 | 0.03 | 0.00 | Team Rocket's Ekans | Common | https://images.pokemontcg.io/sv10/112.png | 
sv10-143 | sv10 | 143 | 1 | 0 | 0.03 | 0.00 | Steven's Beldum | Common | https://images.pokemontcg.io/sv10/143.png | 
sv10-168 | sv10 | 168 | 1 | 0 | 0.09 | 0.00 | Sacred Ash | Uncommon | https://images.pokemontcg.io/sv10/168.png | 
sv3-6 | sv3 | 6 | 2 | 0 | 0.03 | 0.00 | Surskit | Common | https://images.pokemontcg.io/sv3/6.png | 
sv3-9 | sv3 | 9 | 2 | 0 | 0.03 | 0.00 | Foongus | Common | https://images.pokemontcg.io/sv3/9.png | 
sv3-19 | sv3 | 19 | 2 | 0 | 0.03 | 0.00 | Smoliv | Common | https://images.pokemontcg.io/sv3/19.png | 
sv3-26 | sv3 | 26 | 2 | 0 | 0.69 | 0.00 | Charmander | Common | https://images.pokemontcg.io/sv3/26.png | 
sv3-47 | sv3 | 47 | 1 | 0 | 0.03 | 0.00 | Sharpedo | Uncommon | https://images.pokemontcg.io/sv3/47.png | 
sv3-53 | sv3 | 53 | 2 | 0 | 0.04 | 0.00 | Cubchoo | Common | https://images.pokemontcg.io/sv3/53.png | 
sv3-62 | sv3 | 62 | 2 | 0 | 0.20 | 0.00 | Palafin | Rare | https://images.pokemontcg.io/sv3/62.png | 
sv3-88 | sv3 | 88 | 2 | 0 | 0.04 | 0.00 | Granbull | Uncommon | https://images.pokemontcg.io/sv3/88.png | 
sv3-90 | sv3 | 90 | 2 | 0 | 0.04 | 0.00 | Spoink | Common | https://images.pokemontcg.io/sv3/90.png | 
sv3-93 | sv3 | 93 | 2 | 0 | 0.04 | 0.00 | Solrock | Uncommon | https://images.pokemontcg.io/sv3/93.png | 
sv3-99 | sv3 | 99 | 1 | 0 | 0.05 | 0.00 | Greavard | Common | https://images.pokemontcg.io/sv3/99.png | 
sv3-105 | sv3 | 105 | 2 | 0 | 0.03 | 0.00 | Larvitar | Common | https://images.pokemontcg.io/sv3/105.png | 
sv3-108 | sv3 | 108 | 2 | 0 | 0.04 | 0.00 | Barboach | Common | https://images.pokemontcg.io/sv3/108.png | 
sv3-111 | sv3 | 111 | 2 | 0 | 0.07 | 0.00 | Drilbur | Common | https://images.pokemontcg.io/sv3/111.png | 
sv3-118 | sv3 | 118 | 1 | 0 | 0.03 | 0.00 | Toedscool | Common | https://images.pokemontcg.io/sv3/118.png | 
sv3-133 | sv3 | 133 | 2 | 0 | 0.04 | 0.00 | Houndoom | Uncommon | https://images.pokemontcg.io/sv3/133.png | 
sv3-136 | sv3 | 136 | 1 | 0 | 0.08 | 0.00 | Darkrai | Rare | https://images.pokemontcg.io/sv3/136.png | 
sv3-139 | sv3 | 139 | 1 | 0 | 0.04 | 0.00 | Salandit | Common | https://images.pokemontcg.io/sv3/139.png | 
sv3-140 | sv3 | 140 | 1 | 0 | 0.03 | 0.00 | Salazzle | Uncommon | https://images.pokemontcg.io/sv3/140.png | 
sv3-141 | sv3 | 141 | 1 | 0 | 0.07 | 0.00 | Scizor | Rare | https://images.pokemontcg.io/sv3/141.png | 
sv3-157 | sv3 | 157 | 1 | 0 | 0.04 | 0.00 | Dratini | Common | https://images.pokemontcg.io/sv3/157.png | 
sv3-161 | sv3 | 161 | 1 | 0 | 0.06 | 0.00 | Drampa | Uncommon | https://images.pokemontcg.io/sv3/161.png | 
sv3-169 | sv3 | 169 | 1 | 0 | 0.06 | 0.00 | Swablu | Common | https://images.pokemontcg.io/sv3/169.png | 
sv3-176 | sv3 | 176 | 1 | 0 | 0.04 | 0.00 | Yungoos | Common | https://images.pokemontcg.io/sv3/176.png | 
sv3-183 | sv3 | 183 | 1 | 0 | 0.05 | 0.00 | Oinkologne | Uncommon | https://images.pokemontcg.io/sv3/183.png | 
sv3-214 | sv3 | 214 | 0 | 1 | 2.07 | 0.00 | Absol ex | Ultra Rare | https://images.pokemontcg.io/sv3/214.png | 
sv4-90 | sv4 | 90 | 1 | 0 | 0.03 | 0.00 | Onix | Common | https://images.pokemontcg.io/sv4/90.png | 
sv4-128 | sv4 | 128 | 1 | 0 | 0.03 | 0.00 | Ferrothorn | Uncommon | https://images.pokemontcg.io/sv4/128.png | 
sv4-129 | sv4 | 129 | 1 | 0 | 0.03 | 0.00 | Durant | Uncommon | https://images.pokemontcg.io/sv4/129.png | 
sv5-165 | sv5 | 165 | 0 | 1 | 14.97 | 0.00 | Deerling | Illustration Rare | https://images.pokemontcg.io/sv5/165.png | 
sv5-166 | sv5 | 166 | 0 | 1 | 20.60 | 0.00 | Sawsbuck | Illustration Rare | https://images.pokemontcg.io/sv5/166.png | 
sv6-1 | sv6 | 1 | 1 | 0 | 0.03 | 0.00 | Tangela | Common | https://images.pokemontcg.io/sv6/1.png | 
sv6-6 | sv6 | 6 | 1 | 0 | 0.04 | 0.00 | Sunkern | Common | https://images.pokemontcg.io/sv6/6.png | 
sv6-9 | sv6 | 9 | 1 | 0 | 0.04 | 0.00 | Volbeat | Common | https://images.pokemontcg.io/sv6/9.png | 
sv6-14 | sv6 | 14 | 1 | 0 | 0.10 | 0.00 | Grookey | Common | https://images.pokemontcg.io/sv6/14.png | 
sv6-16 | sv6 | 16 | 1 | 0 | 0.06 | 0.00 | Rillaboom | Uncommon | https://images.pokemontcg.io/sv6/16.png | 
sv6-17 | sv6 | 17 | 1 | 0 | 0.06 | 0.00 | Applin | Common | https://images.pokemontcg.io/sv6/17.png | 
sv6-33 | sv6 | 33 | 1 | 0 | 0.08 | 0.00 | Infernape | Rare | https://images.pokemontcg.io/sv6/33.png | 
sv6-35 | sv6 | 35 | 1 | 0 | 0.03 | 0.00 | Darmanitan | Uncommon | https://images.pokemontcg.io/sv6/35.png | 
sv6-44 | sv6 | 44 | 1 | 0 | 0.05 | 0.00 | Goldeen | Common | https://images.pokemontcg.io/sv6/44.png | 
sv6-47 | sv6 | 47 | 1 | 0 | 0.03 | 0.00 | Corphish | Common | https://images.pokemontcg.io/sv6/47.png | 
sv6-52 | sv6 | 52 | 1 | 0 | 0.05 | 0.00 | Glalie | Uncommon | https://images.pokemontcg.io/sv6/52.png | 
sv6-59 | sv6 | 59 | 1 | 0 | 0.03 | 0.00 | Finizen | Common | https://images.pokemontcg.io/sv6/59.png | 
sv6-60 | sv6 | 60 | 2 | 0 | 0.04 | 0.00 | Palafin | Uncommon | https://images.pokemontcg.io/sv6/60.png | 
sv6-70 | sv6 | 70 | 1 | 0 | 0.02 | 0.00 | Helioptile | Common | https://images.pokemontcg.io/sv6/70.png | 
sv6-73 | sv6 | 73 | 1 | 0 | 0.02 | 0.00 | Tadbulb | Common | https://images.pokemontcg.io/sv6/73.png | 
sv6-74 | sv6 | 74 | 1 | 0 | 0.03 | 0.00 | Bellibolt | Uncommon | https://images.pokemontcg.io/sv6/74.png | 
sv6-75 | sv6 | 75 | 1 | 0 | 0.04 | 0.00 | Wattrel | Common | https://images.pokemontcg.io/sv6/75.png | 
sv6-76 | sv6 | 76 | 1 | 0 | 0.03 | 0.00 | Kilowattrel | Uncommon | https://images.pokemontcg.io/sv6/76.png | 
sv6-79 | sv6 | 79 | 1 | 0 | 0.04 | 0.00 | Clefable | Uncommon | https://images.pokemontcg.io/sv6/79.png | 
sv6-86 | sv6 | 86 | 1 | 0 | 0.03 | 0.00 | Flabébé | Common | https://images.pokemontcg.io/sv6/86.png | 
sv6-87 | sv6 | 87 | 1 | 0 | 0.04 | 0.00 | Floette | Common | https://images.pokemontcg.io/sv6/87.png | 
sv6-89 | sv6 | 89 | 1 | 0 | 0.03 | 0.00 | Swirlix | Common | https://images.pokemontcg.io/sv6/89.png | 
sv6-91 | sv6 | 91 | 1 | 0 | 0.03 | 0.00 | Sandygast | Common | https://images.pokemontcg.io/sv6/91.png | 
sv6-101 | sv6 | 101 | 1 | 0 | 0.03 | 0.00 | Nosepass | Common | https://images.pokemontcg.io/sv6/101.png | 
sv6-110 | sv6 | 110 | 1 | 0 | 0.07 | 0.00 | Ting-Lu | Rare | https://images.pokemontcg.io/sv6/110.png | 
sv6-111 | sv6 | 111 | 1 | 0 | 0.06 | 0.00 | Okidogi | Rare | https://images.pokemontcg.io/sv6/111.png | 
sv6-113 | sv6 | 113 | 1 | 0 | 0.03 | 0.00 | Poochyena | Common | https://images.pokemontcg.io/sv6/113.png | 
sv6-128 | sv6 | 128 | 1 | 0 | 0.07 | 0.00 | Dreepy | Common | https://images.pokemontcg.io/sv6/128.png | 
sv6-129 | sv6 | 129 | 1 | 0 | 0.15 | 0.00 | Drakloak | Common | https://images.pokemontcg.io/sv6/129.png | 
sv6-131 | sv6 | 131 | 1 | 0 | 0.06 | 0.00 | Tatsugiri | Uncommon | https://images.pokemontcg.io/sv6/131.png | 
sv6-142 | sv6 | 142 | 1 | 0 | 0.08 | 0.00 | Accompanying Flute | Uncommon | https://images.pokemontcg.io/sv6/142.png | 
sv6-145 | sv6 | 145 | 1 | 0 | 0.11 | 0.00 | Carmine | Uncommon | https://images.pokemontcg.io/sv6/145.png | 
sv6-147 | sv6 | 147 | 1 | 0 | 0.04 | 0.00 | Cook | Uncommon | https://images.pokemontcg.io/sv6/147.png | 
sv6-148 | sv6 | 148 | 1 | 0 | 0.08 | 0.00 | Enhanced Hammer | Uncommon | https://images.pokemontcg.io/sv6/148.png | 
sv6-157 | sv6 | 157 | 1 | 0 | 0.03 | 0.00 | Lucian | Uncommon | https://images.pokemontcg.io/sv6/157.png | 
sv6-166 | sv6 | 166 | 1 | 0 | 0.06 | 0.00 | Boomerang Energy | Uncommon | https://images.pokemontcg.io/sv6/166.png | 
sv6-173 | sv6 | 173 | 0 | 1 | 13.69 | 0.00 | Infernape | Illustration Rare | https://images.pokemontcg.io/sv6/173.png | 
sv6pt5-1 | sv6pt5 | 1 | 1 | 0 | 0.04 | 0.00 | Joltik | Common | https://images.pokemontcg.io/sv6pt5/1.png | 
sv6pt5-2 | sv6pt5 | 2 | 1 | 0 | 0.04 | 0.00 | Galvantula | Uncommon | https://images.pokemontcg.io/sv6pt5/2.png | 
sv6pt5-3 | sv6pt5 | 3 | 1 | 0 | 0.03 | 0.00 | Rowlet | Common | https://images.pokemontcg.io/sv6pt5/3.png | 
sv6pt5-4 | sv6pt5 | 4 | 1 | 0 | 0.04 | 0.00 | Dartrix | Common | https://images.pokemontcg.io/sv6pt5/4.png | 
sv6pt5-7 | sv6pt5 | 7 | 1 | 0 | 0.03 | 0.00 | Houndour | Common | https://images.pokemontcg.io/sv6pt5/7.png | 
sv6pt5-8 | sv6pt5 | 8 | 1 | 0 | 0.05 | 0.00 | Houndoom | Common | https://images.pokemontcg.io/sv6pt5/8.png | 
sv6pt5-10 | sv6pt5 | 10 | 1 | 0 | 0.03 | 0.00 | Horsea | Common | https://images.pokemontcg.io/sv6pt5/10.png | 
sv6pt5-11 | sv6pt5 | 11 | 1 | 0 | 0.05 | 0.00 | Seadra | Common | https://images.pokemontcg.io/sv6pt5/11.png | 
sv6pt5-13 | sv6pt5 | 13 | 1 | 0 | 0.03 | 0.00 | Sneasel | Common | https://images.pokemontcg.io/sv6pt5/13.png | 
sv6pt5-14 | sv6pt5 | 14 | 1 | 0 | 0.03 | 0.00 | Weavile | Uncommon | https://images.pokemontcg.io/sv6pt5/14.png | 
sv6pt5-16 | sv6pt5 | 16 | 1 | 0 | 0.03 | 0.00 | Drowzee | Common | https://images.pokemontcg.io/sv6pt5/16.png | 
sv6pt5-17 | sv6pt5 | 17 | 1 | 0 | 0.03 | 0.00 | Hypno | Uncommon | https://images.pokemontcg.io/sv6pt5/17.png | 
sv6pt5-18 | sv6pt5 | 18 | 1 | 0 | 0.08 | 0.00 | Duskull | Common | https://images.pokemontcg.io/sv6pt5/18.png | 
sv6pt5-22 | sv6pt5 | 22 | 1 | 0 | 0.06 | 0.00 | Sylveon | Uncommon | https://images.pokemontcg.io/sv6pt5/22.png | 
sv6pt5-25 | sv6pt5 | 25 | 1 | 0 | 0.09 | 0.00 | Bloodmoon Ursaluna | Rare | https://images.pokemontcg.io/sv6pt5/25.png | 
sv6pt5-27 | sv6pt5 | 27 | 1 | 0 | 0.03 | 0.00 | Zubat | Common | https://images.pokemontcg.io/sv6pt5/27.png | 
